UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
AC,1120,ACRELÂNDIA," 9,169 "
AC,1570,ASSIS BRASIL," 5,913 "
AC,1058,BRASILÉIA," 16,844 "
AC,1007,BUJARI," 9,613 "
AC,1015,CAPIXABA," 7,540 "
AC,1074,CRUZEIRO DO SUL," 55,749 "
AC,1112,EPITACIOLÂNDIA," 11,732 "
AC,1139,FEIJÓ," 21,561 "
AC,1104,JORDÃO," 5,209 "
AC,1090,MÂNCIO LIMA," 13,141 "
AC,1554,MANOEL URBANO," 7,209 "
AC,1040,MARECHAL THAUMATURGO," 10,491 "
AC,1511,PLÁCIDO DE CASTRO," 11,964 "
AC,1023,PORTO ACRE," 12,639 "
AC,1066,PORTO WALTER," 6,570 "
AC,1392,RIO BRANCO," 256,673 "
AC,1082,RODRIGUES ALVES," 11,388 "
AC,1031,SANTA ROSA DO PURUS," 3,566 "
AC,1457,SENA MADUREIRA," 28,985 "
AC,1538,SENADOR GUIOMARD," 17,552 "
AC,1473,TARAUACÁ," 26,354 "
AC,1490,XAPURI," 11,399 "
AL,27014,ÁGUA BRANCA," 15,296 "
AL,27030,ANADIA," 12,411 "
AL,27057,ARAPIRACA," 143,187 "
AL,27073,ATALAIA," 30,331 "
AL,27090,BARRA DE SANTO ANTÔNIO," 11,987 "
AL,27111,BARRA DE SÃO MIGUEL," 6,897 "
AL,27138,BATALHA," 12,705 "
AL,27154,BELÉM," 4,836 "
AL,27170,BELO MONTE," 5,789 "
AL,27197,BOCA DA MATA," 19,280 "
AL,27219,BRANQUINHA," 8,748 "
AL,27235,CACIMBINHAS," 8,047 "
AL,27251,CAJUEIRO," 13,965 "
AL,27081,CAMPESTRE," 5,548 "
AL,27278,CAMPO ALEGRE," 24,642 "
AL,27294,CAMPO GRANDE," 8,218 "
AL,27316,CANAPI," 13,355 "
AL,27332,CAPELA," 12,820 "
AL,27359,CARNEIROS," 6,536 "
AL,27375,CHÃ PRETA," 5,836 "
AL,27391,COITÉ DO NÓIA," 8,595 "
AL,27413,COLÔNIA LEOPOLDINA," 14,813 "
AL,27430,COQUEIRO SECO," 4,965 "
AL,27456,CORURIPE," 38,667 "
AL,28894,CRAÍBAS," 18,372 "
AL,27472,DELMIRO GOUVEIA," 37,477 "
