Ranking IDHM 2010,Município,IDHM 2010,"IDHM 
Renda 
2010",IDHM Longevidade 2010,IDHM Educação 2010
1,São Caetano do Sul (SP),"0,862","0,891","0,887","0,811"
2,Águas de São Pedro (SP),"0,854","0,849","0,890","0,825"
3,Florianópolis (SC),"0,847","0,870","0,873","0,800"
4,Balneário Camboriú (SC),"0,845","0,854","0,894","0,789"
5,Vitória (ES),"0,845","0,876","0,855","0,805"
6,Santos (SP),"0,840","0,861","0,852","0,807"
7,Niterói (RJ),"0,837","0,887","0,854","0,773"
8,Joaçaba (SC),"0,827","0,823","0,891","0,771"
9,Brasília (DF),"0,824","0,863","0,873","0,742"
10,Curitiba (PR),"0,823","0,850","0,855","0,768"
11,Jundiaí (SP),"0,822","0,834","0,866","0,768"
12,Valinhos (SP),"0,819","0,848","0,850","0,763"
13,Vinhedo (SP),"0,817","0,840","0,878","0,739"
14,Santo André (SP),"0,815","0,819","0,861","0,769"
15,Araraquara (SP),"0,815","0,788","0,877","0,782"
16,Santana de Parnaíba (SP),"0,814","0,876","0,849","0,725"
17,Nova Lima (MG),"0,813","0,864","0,885","0,704"
18,Ilha Solteira (SP),"0,812","0,786","0,871","0,782"
19,Americana (SP),"0,811","0,800","0,876","0,760"
20,Belo Horizonte (MG),"0,810","0,841","0,856","0,737"
21,São José (SC),"0,809","0,799","0,880","0,752"
22,Joinville (SC),"0,809","0,795","0,889","0,749"
23,Maringá (PR),"0,808","0,806","0,852","0,768"
24,São José dos Campos (SP),"0,807","0,804","0,855","0,764"
25,Blumenau (SC),"0,806","0,812","0,894","0,722"
26,Presidente Prudente (SP),"0,806","0,788","0,858","0,774"
27,Rio Fortuna (SC),"0,806","0,848","0,850","0,727"
28,São Paulo (SP),"0,805","0,843","0,855","0,725"
29,Assis (SP),"0,805","0,771","0,865","0,781"
30,Campinas (SP),"0,805","0,829","0,860","0,731"
31,São Bernardo do Campo (SP),"0,805","0,807","0,861","0,752"
32,Porto Alegre (RS),"0,805","0,867","0,857","0,702"
33,São Carlos (SP),"0,805","0,788","0,863","0,766"
34,Rio Claro (SP),"0,803","0,784","0,862","0,766"
35,Jaraguá do Sul (SC),"0,803","0,793","0,865","0,755"
36,Rio do Sul (SC),"0,802","0,793","0,894","0,727"
37,Bauru (SP),"0,801","0,800","0,854","0,752"
38,São Miguel do Oeste (SC),"0,801","0,787","0,884","0,739"
39,Pirassununga (SP),"0,801","0,789","0,884","0,736"
40,Concórdia (SC),"0,800","0,777","0,872","0,756"
41,Vila Velha (ES),"0,800","0,807","0,864","0,734"
42,Taubaté (SP),"0,800","0,778","0,883","0,746"
43,Ribeirão Preto (SP),"0,800","0,820","0,844","0,739"
44,Botucatu (SP),"0,800","0,790","0,869","0,746"
45,Goiânia (GO),"0,799","0,824","0,838","0,739"
46,Rio de Janeiro (RJ),"0,799","0,840","0,845","0,719"
47,Marília (SP),"0,798","0,768","0,854","0,776"
48,Sorocaba (SP),"0,798","0,792","0,843","0,762"
49,Guaratinguetá (SP),"0,798","0,764","0,886","0,751"
50,São João da Boa Vista (SP),"0,797","0,776","0,871","0,749"
51,São José do Rio Preto (SP),"0,797","0,801","0,846","0,748"
52,Fernandópolis (SP),"0,797","0,767","0,872","0,758"
53,Itapema (SC),"0,796","0,788","0,881","0,727"
54,Tubarão (SC),"0,796","0,788","0,866","0,740"
55,Carlos Barbosa (RS),"0,796","0,835","0,835","0,724"
56,Brusque (SC),"0,795","0,794","0,894","0,707"
57,Iomerê (SC),"0,795","0,754","0,891","0,749"
58,Paulínia (SP),"0,795","0,800","0,864","0,727"
59,Treze Tílias (SC),"0,795","0,838","0,874","0,685"
60,Itajaí (SC),"0,795","0,778","0,884","0,730"
61,Holambra (SP),"0,793","0,815","0,878","0,698"
62,Quatro Pontes (PR),"0,791","0,790","0,838","0,748"
63,Três Arroios (RS),"0,791","0,843","0,851","0,689"
64,Nova Odessa (SP),"0,791","0,755","0,861","0,762"
65,Ipiranga do Sul (RS),"0,791","0,818","0,866","0,698"
66,Saltinho (SP),"0,791","0,771","0,857","0,750"
67,Votuporanga (SP),"0,790","0,772","0,857","0,744"
68,Santa Cruz da Conceição (SP),"0,790","0,830","0,876","0,679"
69,Adamantina (SP),"0,790","0,772","0,852","0,750"
70,Chapecó (SC),"0,790","0,779","0,871","0,727"
71,Cândido Rodrigues (SP),"0,789","0,747","0,863","0,762"
72,Uberlândia (MG),"0,789","0,776","0,885","0,716"
73,Barretos (SP),"0,789","0,762","0,875","0,738"
74,Luzerna (SC),"0,789","0,781","0,877","0,718"
75,Lagoa dos Três Cantos (RS),"0,789","0,765","0,852","0,754"
76,Araçatuba (SP),"0,788","0,782","0,841","0,744"
77,Cruzeiro (SP),"0,788","0,742","0,871","0,758"
78,Mairiporã (SP),"0,788","0,767","0,881","0,723"
79,Barra Bonita (SP),"0,788","0,762","0,869","0,739"
80,Criciúma (SC),"0,788","0,786","0,846","0,737"
81,Indaiatuba (SP),"0,788","0,791","0,837","0,738"
82,Caçapava (SP),"0,788","0,754","0,858","0,755"
83,Fernando de Noronha (PE),"0,788","0,781","0,839","0,748"
84,Palmas (TO),"0,788","0,789","0,827","0,749"
85,Itajubá (MG),"0,787","0,767","0,884","0,718"
86,Espírito Santo do Pinhal (SP),"0,787","0,784","0,872","0,712"
87,Garibaldi (RS),"0,786","0,825","0,856","0,688"
88,Pompéia (SP),"0,786","0,750","0,864","0,748"
89,Porto União (SC),"0,786","0,752","0,891","0,724"
90,Lins (SP),"0,786","0,762","0,869","0,733"
91,Barueri (SP),"0,786","0,791","0,866","0,708"
92,Piracicaba (SP),"0,785","0,797","0,848","0,717"
93,Amparo (SP),"0,785","0,780","0,871","0,711"
94,Nova Araçá (RS),"0,785","0,796","0,843","0,722"
95,Cuiabá (MT),"0,785","0,800","0,834","0,726"
96,Catanduva (SP),"0,785","0,767","0,853","0,740"
97,Casca (RS),"0,785","0,778","0,847","0,733"
98,Tremembé (SP),"0,785","0,769","0,873","0,720"
99,Monte Aprazível (SP),"0,785","0,781","0,861","0,720"
100,Santa Fé do Sul (SP),"0,784","0,763","0,840","0,751"
101,Ribeirão Pires (SP),"0,784","0,749","0,847","0,760"
102,Ivoti (RS),"0,784","0,780","0,848","0,729"
103,Jaguariúna (SP),"0,784","0,782","0,862","0,715"
104,Santa Maria (RS),"0,784","0,795","0,848","0,715"
105,Salto Veloso (SC),"0,784","0,778","0,880","0,705"
106,Arujá (SP),"0,784","0,761","0,866","0,730"
107,Timbó (SC),"0,784","0,807","0,856","0,697"
108,Campo Grande (MS),"0,784","0,790","0,844","0,724"
109,Mogi Mirim (SP),"0,784","0,767","0,879","0,715"
110,Horizontina (RS),"0,783","0,782","0,858","0,716"
111,Pinhalzinho (SC),"0,783","0,758","0,886","0,716"
112,Mogi das Cruzes (SP),"0,783","0,762","0,851","0,740"
113,Cascavel (PR),"0,782","0,776","0,846","0,728"
114,Caxias do Sul (RS),"0,782","0,812","0,860","0,686"
115,Pato Branco (PR),"0,782","0,778","0,845","0,728"
116,Cerquilho (SP),"0,782","0,758","0,854","0,739"
117,Lavras (MG),"0,782","0,757","0,880","0,719"
118,São Bento do Sul (SC),"0,782","0,763","0,871","0,719"
119,Caieiras (SP),"0,781","0,740","0,861","0,749"
120,Ijuí (RS),"0,781","0,786","0,858","0,707"
121,Santo Amaro da Imperatriz (SC),"0,781","0,753","0,890","0,710"
122,Bombinhas (SC),"0,781","0,753","0,864","0,732"
123,Maravilha (SC),"0,781","0,758","0,886","0,708"
124,Águas da Prata (SP),"0,781","0,750","0,886","0,716"
125,Lacerdópolis (SC),"0,781","0,763","0,883","0,708"
126,Santa Bárbara D'Oeste (SP),"0,781","0,752","0,867","0,731"
127,Araras (SP),"0,781","0,763","0,859","0,728"
128,Bebedouro (SP),"0,780","0,756","0,853","0,735"
129,Cocal do Sul (SC),"0,780","0,747","0,859","0,740"
130,Pomerode (SC),"0,780","0,780","0,886","0,687"
131,Franca (SP),"0,780","0,749","0,842","0,753"
132,Vista Alegre do Prata (RS),"0,780","0,809","0,847","0,692"
133,Nova Petrópolis (RS),"0,780","0,775","0,890","0,688"
134,Boituva (SP),"0,780","0,757","0,861","0,728"
135,Braço do Trombudo (SC),"0,780","0,766","0,883","0,702"
136,Orlândia (SP),"0,780","0,765","0,882","0,703"
137,Corupá (SC),"0,780","0,768","0,873","0,707"
138,Cotia (SP),"0,780","0,789","0,851","0,707"
139,Birigui (SP),"0,780","0,743","0,869","0,734"
140,Salto (SP),"0,780","0,755","0,837","0,751"
141,Poços de Caldas (MG),"0,779","0,768","0,872","0,706"
142,Andradina (SP),"0,779","0,762","0,885","0,702"
143,Piratininga (SP),"0,779","0,762","0,859","0,723"
144,Seara (SC),"0,779","0,804","0,872","0,674"
145,Bento Gonçalves (RS),"0,778","0,805","0,842","0,695"
146,Varginha (MG),"0,778","0,760","0,875","0,707"
147,Juiz de Fora (MG),"0,778","0,784","0,844","0,711"
148,Ourinhos (SP),"0,778","0,753","0,859","0,727"
149,Jaú (SP),"0,778","0,768","0,886","0,693"
150,Londrina (PR),"0,778","0,789","0,837","0,712"
151,Tietê (SP),"0,778","0,764","0,884","0,698"
